DB00862	DB00966
DB00575	DB00806
DB01242	DB08893
DB01151	DB08883
DB01235	DB01275
DB00018	DB00333
DB00201	DB01609
DB00712	DB01418
DB01576	DB04842
DB01609	DB06212
DB01232	DB09291
DB00382	DB06153
DB01017	DB01142
DB00214	DB01174
DB00104	DB00908
DB00569	DB01109
DB01222	DB09063
DB00898	DB01589
DB00762	DB09054
DB00780	DB01158
DB00186	DB09071
DB01248	DB06688
DB00484	DB00881
DB00396	DB00682
DB00368	DB01551
DB00054	DB00605
DB01320	DB09061
DB01167	DB01320
DB00186	DB00572
DB00921	DB09272
DB01026	DB08865
DB00999	DB01114
DB01242	DB09042
DB00041	DB00381
DB00717	DB06404
DB00673	DB08918
DB01167	DB01215
DB00072	DB00305
DB01100	DB06201
DB01095	DB01393
DB08883	DB09072
DB00983	DB01223
DB00865	DB01623
DB00211	DB00316
DB00422	DB00876
DB00366	DB01189
DB00997	DB04905
DB00177	DB09401
DB01211	DB01215
DB00603	DB01418
DB01268	DB01394
DB00623	DB00656
DB00834	DB09039
DB00104	DB08881
DB00675	DB05812
DB00215	DB00420
DB00401	DB09059
DB00625	DB00956
DB00624	DB00834
DB00780	DB00918
DB00070	DB01222
DB01104	DB01296
DB00443	DB00672
DB00390	DB00986
DB01207	DB06228
DB00618	DB09146
DB00252	DB01182
DB01166	DB06636
DB00108	DB01234
DB09118	DB09128
DB00413	DB00972
DB08873	DB08881
DB00397	DB00983
DB00503	DB00758
DB00126	DB00717
DB00243	DB08889
DB00503	DB00813
DB00991	DB01254
DB01151	DB09072
DB00367	DB01124
DB00238	DB01319
DB00182	DB00816
DB00328	DB04272
DB00502	DB01367
DB01207	DB08976
DB00257	DB01100
DB00715	DB01268
DB01036	DB06290
DB01201	DB09068
DB00418	DB01054
DB01233	DB01238
DB01184	DB09065
DB00204	DB00887
DB04855	DB09053
DB00482	DB06779
DB00501	DB01142
DB00337	DB01181
DB00046	DB00957
DB00366	DB00470
DB00816	DB00871
